Seconds,Volts,Amps
1529.406,4.06905492,0
1529.506,4.069060212,0
1529.606,4.069065451,0
1529.706,4.06907064,0
1529.806,4.069075779,0
1529.906,4.069080871,0
1530.006,4.069085917,0
1530.007,4.068195064,-0.001890002
1535.007,4.067204322,-0.00189
1540.007,4.066858143,-0.00189
1545.007,4.066624067,-0.00189
1550.007,4.066439092,-0.00189
1555.007,4.066277505,-0.00189
1560.007,4.066128365,-0.00189
1565.007,4.065986525,-0.00189
1570.007,4.065849177,-0.00189
1575.007,4.065714964,-0.00189
1580.007,4.065582942,-0.00189
1585.007,4.065452505,-0.00189
1590.007,4.065323247,-0.00189
1595.007,4.065194813,-0.00189
1600.007,4.065066786,-0.00189
1605.007,4.064939137,-0.00189
1610.007,4.06481193,-0.00189
1615.007,4.064685079,-0.00189
1620.007,4.06455862,-0.00189
1625.007,4.064432387,-0.00189
1630.007,4.064306322,-0.00189
1635.007,4.064180485,-0.00189
1640.007,4.064054874,-0.00189
1645.007,4.06392949,-0.00189
1650.007,4.06380416,-0.00189
1655.007,4.063678962,-0.00189
1660.007,4.06355392,-0.00189
1665.007,4.063429034,-0.00189
1670.007,4.063304292,-0.00189
1675.007,4.063179505,-0.00189
1680.007,4.063054802,-0.00189
1685.007,4.062930183,-0.00189
1690.007,4.062805648,-0.00189
1695.007,4.062681171,-0.00189
1700.007,4.062556682,-0.00189
1705.007,4.062432238,-0.00189
1710.007,4.06230784,-0.00189
1715.007,4.062183487,-0.00189
1720.007,4.062059168,-0.00189
1725.007,4.061934871,-0.00189
1730.007,4.061810602,-0.00189
1735.007,4.061686359,-0.00189
1740.007,4.061562138,-0.00189
1745.007,4.061437938,-0.00189
1750.007,4.061313755,-0.00189
1755.007,4.061189587,-0.00189
1760.007,4.06106543,-0.00189
1765.007,4.060941283,-0.00189
1770.007,4.060817115,-0.00189
1775.007,4.060692952,-0.00189
1780.007,4.060568797,-0.00189
1785.007,4.060444651,-0.00189
1790.007,4.060320512,-0.00189
1795.007,4.060196382,-0.00189
1800.007,4.06007226,-0.00189
1805.007,4.059948147,-0.00189
1810.007,4.059824041,-0.00189
1815.007,4.059699951,-0.001889998
1820.007,4.059575882,-0.001889993
1825.007,4.059451813,-0.001889994
1830.007,4.059327743,-0.00189
1830.008,4.060220054,0
1830.108,4.060316185,0
1830.208,4.060378892,0
1830.308,4.060429336,0
1830.408,4.060472886,0
1830.508,4.06051191,0
1830.608,4.0605478,0
1830.708,4.060581119,0
1830.808,4.060612164,0
1830.908,4.060641237,0
1831.008,4.060668634,0
1831.108,4.060694643,0
1831.208,4.0607195,0
1831.308,4.060743131,0
1831.408,4.06076576,0
1831.508,4.060787528,0
1831.608,4.060808612,0
1831.708,4.060829283,0
1831.808,4.060849297,0
1831.908,4.060868655,0
1832.008,4.060887363,0
1832.108,4.06090562,0
1832.208,4.060923304,0
1832.308,4.060940413,0
1832.408,4.060956949,0
1832.508,4.060973343,0
1832.608,4.060989369,0
1832.708,4.061005005,0
1832.808,4.061020251,0
1832.908,4.061035106,0
1833.008,4.06104957,0
1833.108,4.061063644,0
1833.208,4.061077327,0
1833.308,4.061090855,0
1833.408,4.061104135,0
1833.508,4.061117095,0
1833.608,4.061129736,0
1833.708,4.061142056,0
1833.808,4.061154057,0
1833.908,4.061165738,0
1834.008,4.06117728,0
1834.108,4.061188745,0
1834.208,4.061199982,0
1834.308,4.06121099,0
1834.408,4.06122177,0
1834.508,4.061232322,0
1834.608,4.061242645,0
1834.708,4.061252793,0
1834.808,4.061262882,0
1834.908,4.061272792,0
1835.008,4.061282525,0
1835.108,4.061292079,0
1835.208,4.061301456,0
1835.308,4.061310655,0
1835.408,4.061319682,0
1835.508,4.06132867,0
1835.608,4.061337515,0
1835.708,4.061346218,0
1835.808,4.061354777,0
1835.908,4.061363194,0
1836.008,4.061371468,0
1836.108,4.061379598,0
1836.208,4.06138763,0
1836.308,4.061395549,0
1836.408,4.061403348,0
1836.508,4.061411032,0
1836.608,4.061418601,0
